Data,ACP,BFT,BDX,CDR,CPS,DNP,KTY,KRU,LPP,OPL,PKN,RBW,SNT,XTB,value
2025-04-10,10797.010037494323,7032.019704433498,8523.710240572122,7840.515535875446,8005.447941888619,8332.442924813906,7945.086505250917,6319.99005443269,7071.247800936279,8548.566441790836,9302.925670907856,7506.395049812284,7009.828920797099,7256.6140843693465,111491.80091337523
2025-04-11,10789.484757930186,6896.551724137931,8720.540558242094,7766.715125971965,8118.946731234866,8298.607401075615,7816.517441168023,6217.569287630879,6847.474431225214,8592.38232952856,9323.18900712454,7431.569001964396,6981.5453109291975,7366.441470483878,111167.53457864735
2025-04-14,11218.041750251023,7056.650246305419,9472.104269231188,8076.7731734028075,8272.800645682,8669.01734515796,8083.923579730554,6374.6299438025435,7064.538792974924,8809.52515439452,9404.211225514748,7645.39816973561,7243.022155005906,7393.895683262244,114784.53213445145
2025-04-15,11360.86848483564,6933.497536945813,9543.681765515865,8169.060734180705,8416.565778853914,8690.387149624248,8145.641109172815,6497.538436366767,6981.701180785401,8929.52460568727,9122.080842307356,7634.749193963164,7221.809447604979,7652.78279946162,115299.88906530556
2025-04-16,11172.966861433188,7290.64039408867,9409.47785853854,8139.533160539602,8827.683615819209,8770.523916372833,8186.778830996868,6395.1176695649565,6916.847437158959,8996.186484614209,9239.272026417664,7629.368062588788,7257.163959939857,7668.469416049106,115900.02969412245
2025-04-17,11390.969603092186,7512.315270935961,9388.597190232402,8180.138205345936,8832.72800645682,9050.112191473449,8320.481900278135,6401.940957482343,6986.220443092704,9081.901819327648,9216.113927884311,7602.6323361813675,7193.562474537424,7713.580290614326,116871.294616935
2025-04-22,11533.796337676802,7549.261083743842,9400.526772946514,8313.030810930168,9105.125100887813,9256.68696798091,8418.192199639898,6509.48812122732,7086.808972179981,9188.566877528945,9545.992326078478,7784.4579331470895,7299.552737941364,7795.953463950492,118787.4397058596
2025-04-23,11300.743036889535,7820.1970443349755,9346.851447845891,8342.55838457127,9074.858757062146,9260.248602058626,8675.308434393326,6594.850668235666,7175.936279333274,9255.238842986211,9706.589381700558,7645.39816973561,7221.809447604979,7884.2157028826305,119304.80419963469
2025-04-24,11428.596000912863,7807.881773399015,9349.829944967978,8342.55838457127,9125.302663438257,9306.549845068917,8690.732343400801,6637.540872744966,7132.514088916719,9188.566877528945,9881.644685667721,7666.809408256808,7271.269128073461,7894.013253874142,119723.80927082186
2025-04-25,11578.948015061616,7795.566502463054,9364.738024804175,8294.580708454296,9200.96852300242,9449.015208177514,8773.018733755089,6634.129228786273,7041.0572651101775,9091.423503955735,9953.982617107922,7591.983360408921,7433.826611213206,7870.47806149238,120073.71636379279
2025-04-28,11684.225140392538,7894.088669950739,9639.118427228765,8420.063634329343,9231.234866828088,9498.878085265522,8788.442642762564,6700.700941006425,7175.936279333274,9148.573784784914,10029.21531086479,7661.484920370584,7603.418360019578,7868.518551294079,121343.89961443121
2025-04-29,11654.124022135995,8054.187192118227,9543.681765515865,8634.16632952624,9324.55609362389,9552.302596431244,8855.294177403197,6893.610651759747,7132.514088916719,9217.142017943535,9943.866512237842,7714.956373185426,7914.318247764422,7735.155972797786,122169.87604136016
2025-04-30,11699.27569952081,8029.556650246306,9442.288109558793,8597.2661245745,9327.078288942696,9416.96050147808,8886.152942124327,6815.089254679043,7041.0572651101775,9236.18538719971,9871.528580797642,7698.869622550453,7999.132440567782,8041.113473760685,122101.55434111104
2025-05-02,12075.155734892696,8325.12315270936,9874.731584388932,9509.0272127897,9400.221953188056,9566.549132742102,9163.838037789781,6931.174459325881,7191.963353907625,9333.328760772918,9991.598963986356,7805.812528180136,8112.193606438697,8021.497301775528,125302.21578288777
2025-05-05,12142.883250969917,8374.384236453203,9624.210347392567,9246.946841475832,9427.966101694916,9566.549132742102,9086.707546046226,6879.964075924975,7169.087500372723,9260.947819150932,9956.87737942459,7805.812528180136,8133.369677039277,8276.454862577233,124952.16129944462
2025-05-06,12022.555566510726,8325.12315270936,9513.86560584347,8977.493838851324,9433.010492332525,9523.809523809525,8819.301407483694,6768.987406211049,7027.3597071890745,9099.048920882466,10029.21531086479,7912.755433809817,8302.96142584565,8315.687206547545,124071.174998891
2025-05-07,12263.134146862127,8275.862068965518,9534.746274149607,9043.921617444164,9581.82001614205,9577.234034975249,8845.015220300273,6881.660966899194,7095.940677460715,9165.710799809405,10118.921816205006,8110.554494434211,8182.82935750776,8423.555082463776,125100.90657361904
2025-05-08,12601.464572980316,8411.330049261083,9215.626037990654,9043.921617444164,9435.53268765133,9904.904370125014,8737.015017129406,6873.122925997335,7159.955795091988,9207.620333315446,10153.64340076677,8228.203019324492,8119.264508905673,8649.098920288812,125740.70325627246
2025-05-09,12729.317537003642,8472.906403940888,9484.033851945302,8981.16163030737,9367.433414043584,9780.247177404995,9009.566107596489,7011.410609391059,7498.294793809822,9249.519780291163,10456.02155695258,8233.527507210716,8090.9808990377705,8805.996691166865,127170.41796010222
2025-05-12,12924.821228537214,8620.689655172415,9334.921865131779,9043.921617444164,9342.211460855528,9790.932079638138,8947.859524860409,6963.611869948847,7434.279676178549,9190.473231760629,10489.311323594273,8532.944985578568,8126.298774572301,8753.047775808436,127495.32506908123
2025-05-13,12992.471956047455,8571.428571428572,9394.569778702342,8888.874069529471,9223.66828087167,9790.932079638138,8845.015220300273,7009.695856406584,7571.44161672183,9257.145197217893,10561.649255034474,8976.690071755971,8225.254772309614,8845.218500136114,128154.0552261004
2025-05-14,12857.170501026972,8300.492610837438,9331.943368009694,8637.871169380833,9001.715092816787,9808.740250026713,8824.435412682065,7004.587321473673,7491.399424516206,9112.38331397392,10539.938537659456,9035.486012457035,8105.122703971722,8645.169364891142,126696.45508372366
2025-05-15,12917.295948973077,8288.177339901478,9290.182031397415,8534.506137437704,9069.814366424536,9894.21946789187,8701.022247209903,6926.048062382713,7521.124057011659,9156.189115181318,10373.567520642302,8971.365583869747,8090.9808990377705,8452.968805440443,126187.46158280193
2025-05-16,12939.871787665485,8288.177339901478,9340.87885937595,8549.288448457528,8968.926553672316,9263.810236136342,8695.877295305352,6883.375719883668,7383.962116468379,9213.329309480168,10473.390130852595,8923.218618941128,7956.707025765929,8413.746996471196,125294.56043837752
