Data,ALE,MBK,PCO,ZAB,value
2025-03-27,28248.937677053826,39226.82301209235,23060.412680729456,26323.816495851635,116859.98986572726
2025-03-28,27899.25637393768,38264.93220960059,23340.437383449178,26177.40361151781,115682.02957850526
2025-03-31,27673.512747875357,37156.46757053866,22515.499745707297,25237.920937042458,112583.40100116376
2025-04-01,28417.138810198303,38118.35837303042,22560.909156959144,25866.276232308443,114962.68257249631
2025-04-02,28417.138810198303,38365.701722242586,22750.115037175172,26000.488042947778,115533.44361256385
2025-04-03,27478.75354107649,36469.402711615985,22341.43033590855,25573.450463640802,111863.03705224182
2025-04-04,26646.60056657224,32658.4829607915,21228.89976023831,25134.21181063934,105668.19509824138
2025-04-07,25779.036827195472,32292.04836936607,21690.562107965416,24914.592484138608,104676.23978866558
2025-04-08,26836.933427762044,33217.295712715284,21940.31386985057,25488.042947779406,107482.58595810732
2025-04-09,26558.073654390937,32117.991938438994,21402.969170037057,24585.163494387503,104664.1982572545
2025-04-10,27058.250708215302,33913.5214364236,21781.38093046911,25195.21717911176,107948.37025421977
2025-04-11,27009.560906515584,33748.62587028216,21698.13034317406,24213.03074670571,106669.3478666775
2025-04-14,27589.412181303116,35251.00769512643,22091.678574023397,25073.206442166913,110005.30489261984
2025-04-15,27894.830028328615,35855.62477097838,22401.97621757768,25451.43972669595,111603.87074358063
2025-04-16,27337.110481586402,35617.44228655186,22401.97621757768,25536.847242557345,110893.37622827328
2025-04-17,27531.86968838527,36386.95492854526,24672.446780170016,25536.847242557345,114128.1186396579
2025-04-22,27947.946175637397,37806.8889703188,25557.930299581025,26012.689116642265,117325.45456217948
2025-04-23,29302.407932011334,39437.52290216197,26481.25499503524,26561.737432894093,121782.92326210263
2025-04-24,29939.801699716718,39785.63576401613,26360.16323169698,26415.32454856027,122500.92524399009
2025-04-25,29413.066572237964,39593.25760351778,26625.051463999418,26781.356759394825,122412.73239914999
2025-04-28,29736.189801699722,39758.15316965922,26791.55263858952,27086.383601756952,123372.27921170542
2025-04-29,29660.941926345615,39639.06192744595,27321.329103194403,27074.182528062473,123695.51548504845
2025-04-30,29182.89660056658,37696.95859289117,26821.825579424087,26220.10736944851,119921.78814233033
2025-05-02,29581.267705382437,38008.42799560279,27200.237339856143,27428.01366520254,122217.94670604392
2025-05-05,29413.066572237964,36826.676438255774,27843.537332590637,27891.654465592972,121974.93480867735
2025-05-06,28904.03682719547,35818.98131183584,27548.376159453634,27842.850170815032,120114.24446929997
2025-05-07,29550.283286118985,36130.450714547456,27548.376159453634,28172.27916056613,121401.38932068621
2025-05-08,29798.15864022663,36377.794063759626,27888.946743842484,28208.882381649586,122273.78182947832
2025-05-09,30001.77053824363,37458.77610846464,28176.539681770842,28928.745729624206,124565.83205810332
2025-05-12,30665.7223796034,37925.980212532064,28070.584388849875,28526.110297706196,125188.39727869154
2025-05-13,30878.18696883853,37559.545621106634,28365.74556198687,27940.45876037091,124743.93691230295
2025-05-14,29727.33711048159,37623.671674606085,28123.562035310355,26854.563201561738,122329.13402195976
2025-05-15,29643.236543909352,37211.43275925248,27813.264391756074,27525.62225475842,122193.55594967633
2025-05-16,29665.368271954674,37211.43275925248,27782.99145092151,27330.405075646657,121990.19755777532
2025-05-19,29506.01983002833,36945.76768046904,27699.74086362646,27086.383601756952,121237.9119758808
2025-05-20,29922.096317280455,36799.193843898865,28176.539681770842,26866.76427525622,121764.59411820638
2025-05-21,29191.749291784705,36643.45914254306,27843.537332590637,27855.051244509516,121533.79701142793
2025-05-22,28527.797450424932,36771.71124954196,25277.9055968613,27623.2308443143,118200.64514114248
2025-05-23,29262.570821529745,36258.70282154636,24717.85619142186,27867.252318204002,118106.38215270196
2025-05-26,29669.79461756374,37852.69329424698,25679.02206291928,28770.131771595898,121971.6417463259
2025-05-27,29700.779036827196,38567.24074752657,26155.82088106367,28721.327476817958,123145.16814223539
2025-05-28,31165.899433427763,39226.82301209235,26715.870286503112,28648.12103465105,125756.71376667426
2025-05-29,30630.311614730883,38823.744961524375,25906.06911917851,28062.469497315764,123422.59519274953
2025-05-30,30493.09490084986,37559.545621106634,25868.22794313531,27586.627623230845,121507.49608832264
2025-06-02,31161.4730878187,36780.8721143276,26125.54794022911,27013.177159590043,121081.07030196546
2025-06-03,30541.78470254958,35965.55514840601,26602.346758373496,26891.16642264519,120000.85303197426
2025-06-04,31604.107648725218,36359.47233418835,26609.914993582133,26842.36212786725,121415.85710436295
2025-06-05,31263.279036827196,35727.372663979484,26375.299702114262,26988.775012201073,120354.72641512203
2025-06-06,29948.654390934844,35461.70758519605,26201.230292315515,27000.976085895556,118612.56835434196
2025-06-09,29877.832861189803,36185.41590326127,26254.207938776002,27135.18789653489,119452.64459976196
2025-06-10,30116.855524079325,36909.12422132649,26927.78087234506,26464.128843338214,120417.88946108909
2025-06-11,30271.777620396602,35809.8204470502,28274.92673948318,26720.3513909224,121076.87619785238
2025-06-12,30023.902266288955,35855.62477097838,29326.911433484296,26183.504148365057,121389.94261911669
2025-06-13,29439.624645892356,35122.75558812752,29304.20672785837,26244.509516837483,120111.09647871573
2025-06-16,29302.407932011334,35049.46866984244,29591.799665786733,26464.128843338214,120407.80511097872
2025-06-17,29439.624645892356,34399.0472700623,29236.092610980602,26403.123474865788,119477.88800180105
2025-06-18,29311.260623229464,34133.38219127886,29395.02555036207,26476.329917032697,119315.99828190308
2025-06-20,28806.657223796035,34490.65591791865,28925.794967426315,26573.93850658858,118797.04661572957
2025-06-23,28328.611898017,33217.295712715284,29546.390254534886,25744.265495363594,116836.56336063077
2025-06-24,28673.866855524084,35131.91645291316,30272.940834564433,26195.70522205954,120274.42936506121
2025-06-25,28864.19971671388,34646.39061927446,30272.940834564433,26537.335285505123,120320.86645605789
2025-06-26,29328.966005665727,35324.29461341151,32164.99963672471,27098.584675451442,123916.84493125338
2025-06-27,29984.065155807366,35452.54672041041,32467.729045070355,27086.383601756952,124990.7245230451
2025-06-30,30621.458923512753,36551.8504946867,32770.458453415995,26403.123474865788,126346.89134648124
2025-07-01,30121.281869688388,36341.150604617076,32770.458453415995,26708.150317227915,125941.04124494937
2025-07-02,30231.940509915017,36048.00293147674,32846.14080550241,26342.11810639336,125468.20235328752
2025-07-03,30413.420679886684,36927.44595089777,33300.23491802088,26573.93850658858,127215.04005539391
2025-07-04,30470.963172804535,36048.00293147674,32649.366690077743,26708.150317227915,125876.48311158695
2025-07-07,30541.78470254958,35919.75082447784,32164.99963672471,26427.525622254758,125054.06078600688
2025-07-08,30966.71388101983,36414.43752290217,31983.361991717324,25219.619326500735,124584.13272214006
2025-07-09,31161.4730878187,36267.86368633199,32225.54551839384,25866.276232308443,125521.15852485297
2025-07-10,30829.497167138816,35131.91645291316,32467.729045070355,25427.03757930698,123856.18024442931
2025-07-11,30771.954674220964,35305.97288384024,31968.225521300043,25195.21717911176,123241.370258473
2025-07-14,31471.31728045326,35269.329424697695,31468.721997529727,25854.07515861396,124063.44386129465
2025-07-15,31484.596317280455,35287.65115426896,30893.536121673005,25744.265495363594,123410.04908858602
2025-07-16,31785.587818696888,35663.24661048003,31362.76670460875,25305.026842362127,124116.6279761478
2025-07-17,31568.696883852692,37596.189080249176,31196.26553001865,25134.21181063934,125495.36330475984
2025-07-18,32064.44759206799,39116.89263466471,33421.32668135913,25805.270863836016,130407.93777192786
2025-07-21,32152.974504249294,38722.975448882375,34208.423143057815,25622.25475841874,130706.62785460823
2025-07-22,31913.951841359773,38338.21912788568,34556.5619626553,25719.86334797462,130528.59627987536
2025-07-23,32307.89660056657,38878.710150238185,34753.33607807997,25927.28160078087,131867.2244296656
2025-07-24,32228.2223796034,39391.71857823379,33799.73844179119,25805.270863836016,131224.9502634644
2025-07-25,32135.26912181303,40170.39208501283,33966.239616381295,25988.286969253295,132260.18779246043
