Data,A,B,C,WIG
2025-05-13,136399.44511573133,124743.93691230296,128154.0552261004,104280.78
2025-05-14,135694.5740289857,122329.13402195976,126696.45508372366,103815.38
2025-05-15,135110.36451725205,122193.55594967632,126187.46158280192,103232.88
2025-05-16,137403.98820039383,121990.19755777532,125294.56043837752,103150.46
2025-05-19,135576.34928902422,121237.9119758808,125394.13503521294,102362.07
2025-05-20,135973.5210450545,121764.59411820638,125277.87844937286,102543.24
2025-05-21,135117.87103035758,121533.79701142792,124500.60546458451,101569.03
2025-05-22,134277.8881364102,118200.64514114248,122561.14758791952,100768.42
2025-05-23,132608.1778301732,118106.38215270196,121385.75853660917,99925.61
2025-05-26,136004.4437318243,121971.6417463259,124288.28217888628,102261.41
2025-05-27,136922.4302142893,123145.1681422354,125296.23307662625,102966.25
2025-05-28,138001.0894256134,125756.71376667426,126746.42239750292,103870.29
2025-05-29,135468.12610331745,123422.59519274952,123298.0878256683,101954.88
2025-05-30,132894.58748649628,121507.49608832264,123135.79525456332,101476.07
2025-06-02,132197.66748519763,121081.07030196546,122285.01489016504,100908.59
2025-06-03,130644.14766799044,120000.85303197426,121615.68934933272,99970.96
2025-06-04,132948.16869070195,121415.85710436296,123309.6486871553,101380.52
2025-06-05,130455.08304710234,120354.72641512204,122168.52743050847,100227.96
2025-06-06,129112.03117115922,118612.56835434196,122121.76972837528,99287.48
2025-06-09,131201.04339636286,119452.64459976196,123166.36819612498,100344.89
2025-06-10,133906.0610425473,120417.88946108909,125177.59635966257,102091.25
2025-06-11,134183.7722816756,121076.87619785238,123460.92715597856,101699.25
2025-06-12,132984.40106877944,121389.94261911669,122665.14466822702,100894.69
2025-06-13,128902.78527347496,120111.09647871571,121488.20657245012,99364.86
2025-06-16,129534.95252874018,120407.80511097872,121382.7520585504,99583.4
2025-06-17,131577.5157559315,119477.88800180104,121495.64895191677,100082.01
2025-06-18,131863.05851778135,119315.99828190308,121940.0643526557,99940.42
2025-06-20,131401.94370408496,118797.04661572956,122929.9137705296,100405.84
2025-06-23,130152.2972550779,116836.56336063075,120973.09897947968,98984.52
2025-06-24,134068.883759996,120274.4293650612,123621.05068371432,101387.48
2025-06-25,134055.6122999501,120320.86645605788,124453.51785174017,101221.0
2025-06-26,137319.0912275377,123916.84493125338,127396.32201540154,103380.71
2025-06-27,137946.5236385312,124990.7245230451,127969.4531530674,103728.06
2025-06-30,139983.22843043655,126346.89134648124,127073.8011052371,104691.71
2025-07-01,140299.56673048332,125941.04124494936,126783.16417767036,104200.5
2025-07-02,140116.8597031934,125468.20235328752,127397.6273644092,104587.92
2025-07-03,144446.97393032353,127215.04005539393,128660.5226273148,106187.44
2025-07-04,142598.42729536194,125876.48311158696,127933.94891888408,105548.27
2025-07-07,143376.04910556044,125054.06078600688,128175.6775593496,105479.27
2025-07-08,143082.6166078676,124584.13272214006,127727.42131523188,106001.95
2025-07-09,144108.9107522458,125521.15852485296,127783.05340736757,106354.26
2025-07-10,141584.78702080675,123856.18024442931,126453.74270398908,104923.53
2025-07-11,141591.7001703681,123241.370258473,126759.09223354244,105106.98
2025-07-14,142136.21492214667,124063.44386129464,127036.3559161425,105605.91
2025-07-15,142210.4378132911,123410.04908858602,126354.27278322353,105484.78
2025-07-16,142685.47475001687,124116.6279761478,125898.12041809555,105470.67
2025-07-17,144742.43278942333,125495.36330475984,127062.09859598524,106681.74
2025-07-18,147030.36604848423,130407.93777192786,129720.89566133452,108431.73
2025-07-21,146900.22422302203,130706.62785460825,128582.82463434347,107995.84
2025-07-22,146565.30848378345,130528.59627987536,127720.1224584774,107395.6
2025-07-23,149167.8769760565,131867.2244296656,127914.86822875282,107975.62
2025-07-24,150132.13447476065,131224.9502634644,128370.21001271572,108690.07
2025-07-25,149794.69182155275,132260.18779246043,127939.60214487616,108552.82
2025-07-28,145461.01335910943,130675.79483934796,125463.61110107676,106778.89
2025-07-29,146507.07226982564,132674.638760069,127045.7601515119,108041.14
2025-07-30,147504.94308917367,135099.43929473212,127481.74444261663,108896.66
2025-07-31,145405.509981961,134145.98159731695,126433.06044106188,107885.5
2025-08-01,142406.59580686357,130490.48938852706,123509.69204102902,105684.54
2025-08-04,142589.2304814561,131466.01121786397,124374.08237768992,106574.64
